name,lat,lon,population
Village 8,3.150647,12.366741,2500
Ngoulmekong,4.480337,12.033792,2500
Ouro_malloum_2,8.964538,13.453224,2500
Ndoumdoum,2.609444,13.286257,2500
Kouajem,4.987113,10.678619,2500
Engongom,3.097952,11.125363,2500
Dafa,9.97571,13.76652,2500
Naga Kabir,12.506743,14.554358,2500
Nnon,4.316567,10.849947,2500
Village 2,3.189011,12.405787,2500
Magawai,10.58865,13.85205,2500
Mapa,3.799418,9.714332,2500
Boura I,4.675897,11.332887,2500
Etoa,3.77452,11.481377,2500
Makak,3.841269,13.044057,2500
Oveng,3.091217,11.306731,2500
Koukoum,4.353373,10.827829,2500
Aboumezok,2.350506,11.790145,2500
Awaé,3.587652,11.610551,2500
Mbe,4.867356,11.156444,2500
Bombato,4.46004,11.2458,2500
Lélem-Moatong,5.193473,9.990255,2500
Biliel,8.04142,13.18343,2500
Mbese,5.45414,13.713529,2500
Nyomo,3.744316,11.490449,2500
Biyan,3.692969,11.405553,2500
Tambadjam,8.49282,13.4608,2500
Minko,2.339061,10.384852,2500
Talandi,10.282359,13.967056,2500
Mendoungue,3.477598,15.048223,2500
Tapata,5.103661,14.528282,2500
Tchangou,9.622679,13.810726,2500
Mfelap,5.822752,10.899552,2500
Nyim,3.277491,11.318954,2500
Nkang,4.856283,11.217209,2500
Mimbomingal,3.04018,10.905347,2500
Ngousséré,12.520834,14.486979,2500
Boundé,4.215161,14.938567,2500
Danigue,10.14987,15.37234,2500
Mengbwa,3.186555,11.806142,2500
Gbagbale,4.397633,14.645558,2500
Niewa I,4.329038,14.81884,2500
Mayo_lade_2,7.901305,15.230194,2500
Kongong,10.601853,14.069581,2500
Akoumou,3.707118,12.860533,2500
Yanga,4.546193,11.295487,2500
Moneko I,3.036968,11.741555,2500
Bima,9.61329,13.84578,2500
Biatsota II,4.413172,11.638996,2500
MBAMOKOUTE,4.780114,11.025257,2500
Yabona,4.188076,9.702951,2500
Mbomo,3.927961,9.323021,2500
Toumbi,5.327467,12.441716,2500
Mba,3.815061,12.816625,2500
Doumgel,9.48741,13.80653,2500
Dembo,9.711615,13.550302,2284
Njinibi,6.014101,9.980507,1000
Nkol-Meding,3.58611,11.29167,305
